"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2022","71,427.0","68,693.0","71,427.0","67,852.0","2.30M","3.56%"
"05/10/2022","68,974.0","65,889.0","69,254.0","64,487.0","3.89M","4.68%"
"05/09/2022","65,889.0","68,903.0","69,394.0","65,889.0","6.21M","-6.19%"
"05/06/2022","70,235.0","71,707.0","72,899.0","70,235.0","3.35M","-4.30%"
"05/05/2022","73,389.0","73,319.0","73,950.0","71,427.0","3.03M","0.19%"
"05/04/2022","73,249.0","73,530.0","74,231.0","72,969.0","2.21M","-0.48%"
"04/29/2022","73,600.0","73,600.0","75,072.0","73,039.0","5.51M","-15.31%"
"04/28/2022","86,906.0","84,764.0","87,977.0","84,435.0","3.04M","2.43%"
"04/27/2022","84,847.0","84,435.0","85,670.0","82,787.0","3.04M","-1.25%"
"04/26/2022","85,918.0","82,540.0","86,494.0","79,904.0","6.52M","0.87%"
"04/25/2022","85,176.0","90,695.0","91,354.0","85,176.0","5.53M","-6.93%"
"04/22/2022","91,519.0","92,672.0","93,826.0","87,318.0","6.85M","-0.80%"
"04/21/2022","92,261.0","91,602.0","95,473.0","91,602.0","4.88M","0.00%"
"04/20/2022","92,261.0","92,261.0","93,084.0","90,284.0","3.95M","0.00%"
"04/19/2022","92,261.0","95,967.0","96,379.0","92,261.0","5.68M","-3.03%"
"04/18/2022","95,144.0","94,732.0","97,697.0","93,908.0","4.03M","0.43%"
"04/15/2022","94,732.0","94,814.0","97,121.0","93,908.0","3.75M","-1.37%"
"04/14/2022","96,050.0","94,897.0","97,944.0","94,897.0","4.24M","1.30%"
"04/13/2022","94,814.0","90,613.0","94,814.0","90,448.0","3.99M","4.83%"
"04/12/2022","90,448.0","89,789.0","91,849.0","87,812.0","3.79M","1.20%"
"04/08/2022","89,377.0","93,331.0","93,826.0","89,377.0","4.88M","-4.24%"
"04/07/2022","93,331.0","93,661.0","96,297.0","92,343.0","4.70M","0.27%"
"04/06/2022","93,084.0","89,295.0","93,908.0","89,295.0","5.01M","3.67%"
"04/05/2022","89,789.0","89,872.0","91,931.0","89,789.0","2.24M","-0.27%"
"04/04/2022","90,036.0","93,496.0","93,496.0","90,036.0","3.23M","-1.53%"
"04/01/2022","91,437.0","88,059.0","91,437.0","87,400.0","5.18M","3.74%"
"03/31/2022","88,142.0","86,906.0","91,107.0","86,165.0","4.17M","0.94%"
"03/30/2022","87,318.0","87,153.0","88,389.0","86,082.0","3.40M","1.05%"
"03/29/2022","86,412.0","81,222.0","86,412.0","81,222.0","9.87M","6.93%"
"03/28/2022","80,810.0","78,669.0","81,305.0","78,421.0","4.20M","2.51%"
"03/25/2022","78,833.0","79,163.0","79,492.0","78,751.0","1.47M","-0.31%"
"03/24/2022","79,080.0","79,080.0","80,069.0","78,504.0","2.19M","-0.52%"
"03/23/2022","79,492.0","79,492.0","80,316.0","79,080.0","2.37M","0.10%"
"03/22/2022","79,410.0","79,080.0","79,904.0","78,586.0","2.50M","1.15%"
"03/21/2022","78,504.0","78,421.0","79,080.0","78,257.0","1.87M","0.21%"
"03/18/2022","78,339.0","76,609.0","79,575.0","76,609.0","3.38M","3.37%"
"03/17/2022","75,785.0","75,621.0","76,362.0","75,374.0","1.42M","0.44%"
"03/16/2022","75,456.0","75,044.0","76,033.0","74,550.0","1.37M","0.66%"
"03/15/2022","74,962.0","75,621.0","75,621.0","73,973.0","2.25M","-0.87%"
"03/14/2022","75,621.0","76,609.0","76,609.0","74,550.0","2.33M","-1.50%"
"03/11/2022","76,774.0","77,845.0","77,927.0","76,362.0","1.37M","-1.48%"
"03/10/2022","77,927.0","79,328.0","79,328.0","77,927.0","934.44K","-0.94%"
"03/09/2022","78,669.0","77,927.0","79,492.0","77,927.0","2.64M","0.74%"
"03/08/2022","78,092.0","77,268.0","78,586.0","76,280.0","2.67M","1.07%"
"03/07/2022","77,268.0","76,692.0","77,351.0","75,950.0","2.04M","0.32%"
"03/04/2022","77,021.0","76,856.0","77,268.0","76,609.0","1.61M","0.11%"
"03/03/2022","76,939.0","76,774.0","77,433.0","76,774.0","1.15M","0.32%"
"03/02/2022","76,692.0","76,609.0","76,939.0","76,362.0","1.31M","-0.32%"
"03/01/2022","76,939.0","77,433.0","77,433.0","76,197.0","1.32M","0.11%"
"02/28/2022","76,856.0","76,033.0","77,021.0","76,033.0","1.81M","1.08%"
"02/25/2022","76,033.0","76,115.0","76,939.0","75,868.0","1.27M","0.33%"
"02/24/2022","75,785.0","76,609.0","77,021.0","74,138.0","1.62M","-1.08%"
"02/23/2022","76,609.0","76,280.0","77,351.0","76,280.0","1.17M","0.11%"
"02/22/2022","76,527.0","76,609.0","76,856.0","75,785.0","1.39M","-0.64%"
"02/21/2022","77,021.0","75,950.0","77,433.0","75,785.0","1.66M","1.41%"
"02/18/2022","75,950.0","76,033.0","76,197.0","75,538.0","742.56K","-0.65%"
"02/17/2022","76,444.0","75,703.0","76,444.0","74,962.0","1.02M","1.64%"
"02/16/2022","75,209.0","75,538.0","76,197.0","75,209.0","737.04K","0.22%"
"02/15/2022","75,044.0","74,962.0","75,538.0","74,550.0","786.48K","0.11%"
