"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2019","27,348.5","27,603.4","27,676.2","27,093.6","54.27K","-0.92%"
"07/05/2019","27,603.4","27,530.6","27,603.4","27,312.1","143.79K","-0.26%"
"07/04/2019","27,676.2","27,967.5","28,040.4","27,384.9","94.81K","-1.04%"
"07/03/2019","27,967.5","27,749.0","27,967.5","27,603.4","63.93K","0.52%"
"07/02/2019","27,821.9","27,712.6","27,821.9","27,457.7","146.67K","0.53%"
"07/01/2019","27,676.2","28,040.4","28,040.4","27,384.9","169.51K","0.80%"
"06/28/2019","27,457.7","28,222.5","28,222.5","27,093.6","108.35K","-1.31%"
"06/27/2019","27,821.9","28,258.9","28,550.2","27,821.9","160.35K","-1.16%"
"06/26/2019","28,149.6","27,894.7","28,368.1","27,894.7","112.89K","-1.65%"
"06/25/2019","28,623.0","28,841.5","28,987.2","28,113.2","162.64K","-0.51%"
"06/24/2019","28,768.7","27,821.9","28,768.7","27,530.6","300.38K","5.33%"
"06/21/2019","27,312.1","26,947.9","28,040.4","26,656.6","324.85K","2.46%"
"06/20/2019","26,656.6","26,911.5","26,947.9","26,365.2","51.47K","0.83%"
"06/19/2019","26,438.1","26,947.9","26,947.9","26,438.1","74.53K","-0.55%"
"06/18/2019","26,583.7","27,093.6","27,093.6","26,219.6","58.70K","-0.95%"
"06/17/2019","26,838.6","26,875.1","26,984.3","26,583.7","82.68K","-0.14%"
"06/14/2019","26,875.1","26,510.9","27,239.2","26,219.6","138.22K","3.07%"
"06/13/2019","26,073.9","26,219.6","26,947.9","25,855.4","83.89K","-3.76%"
"06/12/2019","27,093.6","27,676.2","27,858.3","27,093.6","104.53K","-1.59%"
"06/11/2019","27,530.6","26,292.4","27,749.0","26,292.4","238.87K","4.56%"
"06/10/2019","26,328.8","26,401.7","26,693.0","26,073.9","240.78K","2.41%"
"06/07/2019","25,709.7","25,673.3","26,001.1","25,127.1","87.09K","0.14%"
"06/06/2019","25,673.3","25,782.6","25,782.6","25,127.1","88.82K","2.17%"
"06/05/2019","25,127.1","25,491.3","25,855.4","24,835.8","130.17K","2.68%"
"06/04/2019","24,471.6","24,034.6","25,127.1","24,034.6","129.69K","1.51%"
"06/03/2019","24,107.4","25,345.6","26,219.6","24,071.0","140.43K","-6.76%"
